"id","author.name","book.title","subgenre","year","year.cat","canon.cat","gender.cat","length","length.cat","counter","Author.birth","Author.death","GND"
"DEU065","Spielhagen, Friedrich","Zum Zeitvertreib","foo",1897,"T3","low","m",67471,"medium",1,1823,1911,"http://d-nb.info/gnd/118616196"
"DEU066","Fontane, Theodor","Der Stechlin","foo",1897,"T3","high","m",154063,"long",1,1819,1898,"http://d-nb.info/gnd/118534262"
"DEU067","Ganghofer, Ludwig","Schloß Hubertus","foo",1895,"T3","high","m",198887,"long",1,1855,1920,"http://d-nb.info/gnd/118537490"
"DEU070","Fontane, Theodor","Schach von Wuthenow","foo",1882,"T3","high","m",50542,"medium",1,1819,1898,"http://d-nb.info/gnd/118534262"
"DEU071","Fontane, Theodor","Cécile","foo",1887,"T3","high","m",67507,"medium",1,1819,1898,"http://d-nb.info/gnd/118534262"
"DEU072","Raabe, Wilhelm","Im alten Eisen","foo",1887,"T3","high","m",64386,"medium",1,1831,1910,"http://d-nb.info/gnd/118692577"
"DEU073","Dohm, Hedwig","Schicksale einer Seele","foo",1899,"T3","low","f",104561,"long",1,1831,1919,"http://d-nb.info/gnd/11852643X"
"DEU075","Janitschek, Maria","Ninive","foo",1896,"T3","low","f",56550,"medium",1,1859,1927,"http://d-nb.info/gnd/117078719"
"DEU077","Reventlow, Franziska Gräfin zu","Ellen Olestjerne","foo",1903,"T4","medium","f",73402,"medium",1,1871,1918,"http://d-nb.info/gnd/118600044"
"DEU080","Keyserling, Eduard von","Dumala","foo",1907,"T4","low","m",37961,"short",1,1855,1918,"http://d-nb.info/gnd/118561812"
"DEU081","May, Karl","Und Friede auf Erden!","foo",1904,"T4","high","m",210053,"long",1,1842,1912,"http://d-nb.info/gnd/118818651"
"DEU084","May, Karl","Ardistan und Dschinnistan II","foo",1909,"T4","high","m",205246,"long",1,1842,1912,"http://d-nb.info/gnd/118818651"
"DEU085","Ganghofer, Ludwig","Der Ochsenkrieg","foo",1914,"T4","high","m",212235,"long",1,1855,1920,"http://d-nb.info/gnd/118537490"
"DEU088","Fontane, Theodor","Mathilde Möhring","foo",1906,"T4","high","m",40323,"short",1,1819,1898,"http://d-nb.info/gnd/118534262"
"DEU090","Reventlow, Franziska Gräfin zu","Von Paul zu Pedro","foo",1912,"T4","high","f",25015,"short",1,1871,1918,"http://d-nb.info/gnd/118600044"
"DEU091","Schnitzler, Arthur","Casanovas Heimfahrt","foo",1918,"T4","high","m",43407,"short",1,1862,1931,"http://d-nb.info/gnd/118609807"
"DEU093","Christ, Lena","Madam Bäurin","foo",1920,"T4","high","f",42418,"short",1,1881,1920,"http://d-nb.info/gnd/118520555"
"DEU094","Schnitzler, Arthur","Der Weg ins Freie","foo",1907,"T4","high","m",144932,"long",1,1862,1931,"http://d-nb.info/gnd/118609807"
"DEU097","Keyserling, Eduard von","Wellen","foo",1911,"T4","high","m",54745,"medium",1,1855,1918,"http://d-nb.info/gnd/118561812"
"DEU098","Reventlow, Franziska Gräfin zu","Herrn Dames Aufzeichnungen","foo",1913,"T4","high","f",41778,"short",1,1871,1918,"http://d-nb.info/gnd/118600044"
"DEU099","Christ, Lena","Mathias Bichler","foo",1914,"T4","high","f",81921,"medium",1,1881,1920,"http://d-nb.info/gnd/118520555"
"DEU100","Ebner-Eschenbach, Marie von","Agave","foo",1903,"T4","high","f",51704,"medium",1,1830,1916,"http://d-nb.info/gnd/118528661"
